julian_day,temperature
2443310,1360.9776 
2443311,1361.1851 
2443312,1361.2116 
2443313,1361.2477 
2443314,1361.2591 
2443315,1361.2928 
2443316,1361.2832 
2443317,1361.2412 
2443318,1361.2366 
2443319,1361.1332 
2443320,1361.0063 
2443321,1360.8862 
2443322,1360.8460 
2443323,1360.9034 
2443324,1360.9381 
2443325,1361.0151 
2443326,1361.0819 
2443327,1361.1440 
2443328,1361.1911 
2443329,1361.2403 
2443330,1361.3165 
2443331,1361.4284 
2443332,1361.0417 
2443333,1361.3774 
2443334,1361.4038 
2443335,1361.4093 
2443336,1361.4025 
2443337,1361.3896 
2443338,1361.3824 
2443339,1361.3825 
2443340,1361.3704 
2443341,1361.3576 
2443342,1361.3607 
2443343,1361.3705 
2443344,1361.3701 
2443345,1361.3351 
2443346,1361.3583 
2443347,1361.3116 
2443348,1361.3187 
2443349,1361.2369 
2443350,1361.3822 
2443351,1361.3786 
2443352,1361.4094 
2443353,1361.4145 
2443354,1361.3830 
2443355,1361.2763 
2443356,1361.3318 
2443357,1361.3192 
2443358,1361.2741 
2443359,1361.2092 
2443360,1361.2323 
2443361,1361.0073 
2443362,1361.0729 
2443363,1361.1143 
2443364,1361.1112 
2443365,1361.1987 
2443366,1361.3026 
2443367,1361.3643 
2443368,1361.4272 
2443369,1361.5065 
2443370,1361.5810 
2443371,1361.6367 
2443372,1361.7144 
2443373,1361.7239 
2443374,1361.2990 
2443375,1361.6689 
2443376,1361.6810 
2443377,1361.5875 
2443378,1361.5091 
2443379,1361.5104 
2443380,1361.4100 
2443381,1361.2116 
2443382,1361.1616 
2443383,1361.1279 
2443384,1361.1541 
2443385,1361.2899 
2443386,1361.3188 
2443387,1361.2312 
2443388,1361.3323 
2443389,1361.2964 
2443390,1361.1803 
2443391,1361.1764 
2443392,1361.2433 
2443393,1361.2811 
2443394,1361.3548 
2443395,1361.3075 
2443396,1361.3256 
2443397,1361.1377 
2443398,1361.1059 
2443399,1361.0652 
2443400,1360.9916 
2443401,1360.6036 
2443402,1361.0653 
2443403,1360.9759 
2443404,1361.1337 
2443405,1361.2624 
2443406,1361.0580 
2443407,1360.9138 
2443408,1361.1666 
2443409,1360.9888 
2443410,1361.0421 
2443411,1360.9241 
2443412,1361.0319 
2443413,1360.9535 
2443414,1360.9418 
2443415,1360.8954 
2443416,1360.9386 
2443417,1361.1846 
2443418,1360.7311 
2443419,1361.0645 
2443420,1360.8333 
2443421,1360.7920 
2443422,1360.8601 
2443423,1360.8868 
2443424,1361.0846 
2443425,1361.1455 
2443426,1361.3262 
2443427,1361.4213 
2443428,1361.4211 
2443429,1361.4138 
2443430,1361.2011 
2443431,1361.2927 
2443432,1361.2804 
2443433,1361.2943 
2443434,1361.2678 
2443435,1361.3065 
2443436,1361.2326 
2443437,1360.9846 
2443438,1360.9698 
2443439,1360.9702 
2443440,1361.0551 
2443441,1361.0847 
2443442,1361.0689 
2443443,1361.1393 
2443444,1361.1356 
2443445,1361.1846 
2443446,1361.0942 
2443447,1361.0531 
2443448,1360.9042 
2443449,1360.9887 
2443450,1360.9778 
2443451,1361.0249 
2443452,1361.1483 
2443453,1361.1648 
2443454,1361.1995 
2443455,1361.2531 
2443456,1361.2876 
2443457,1361.3098 
2443458,1361.3404 
2443459,1361.4104 
2443460,1361.4303 
2443461,1361.4955 
2443462,1361.6162 
2443463,1361.6829 
2443464,1361.8017 
2443465,1361.7847 
2443466,1361.6504 
2443467,1361.7644 
2443468,1361.8711 
2443469,1362.0340 
2443470,1362.1109 
2443471,1362.1369 
2443472,1362.1316 
2443473,1362.1468 
2443474,1362.1339 
2443475,1362.1355 
2443476,1362.0948 
2443477,1361.1736 
2443478,1361.9921 
2443479,1361.8091 
2443480,1361.9380 
2443481,1361.8399 
2443482,1361.1860 
2443483,1361.6832 
2443484,1361.6495 
2443485,1361.1307 
2443486,1361.1037 
2443487,1361.5534 
2443488,1361.2067 
2443489,1361.3251 
2443490,1361.3747 
2443491,1361.4023 
2443492,1361.4848 
2443493,1361.4546 
2443494,1361.7327 
2443495,1361.2750 
2443496,1361.6993 
2443497,1361.5882 
2443498,1361.6478 
2443499,1361.6178 
2443500,1361.6353 
2443501,1361.6241 
2443502,1361.5948 
2443503,1361.5851 
2443504,1361.7088 
2443505,1361.8240 
2443506,1362.0065 
2443507,1362.0060 
2443508,1362.2642 
2443509,1361.9948 
2443510,1362.0150 
2443511,1360.9167 
2443512,1362.0325 
2443513,1361.6605 
2443514,1362.1968 
2443515,1362.1186 
2443516,1362.1669 
2443517,1361.6687 
2443518,1362.0036 
2443519,1361.8970 
2443520,1361.7663 
2443521,1361.4631 
2443522,1361.5259 
2443523,1361.5201 
2443524,1361.4710 
2443525,1361.4429 
2443526,1361.4743 
2443527,1361.4860 
2443528,1361.4161 
2443529,1361.5485 
2443530,1361.5759 
2443531,1361.5181 
2443532,1361.6370 
2443533,1361.6234 
2443534,1361.6695 
2443535,1361.7475 
2443536,1361.6904 
2443537,1361.6918 
2443538,1361.6676 
2443539,1361.5875 
2443540,1361.9864 
2443541,1362.0062 
2443542,1362.0336 
2443543,1361.3877 
2443544,1361.8175 
2443545,1361.7531 
2443546,1361.7471 
2443547,1361.7239 
2443548,1361.6544 
2443549,1361.2562 
